ref	s7	diff_px	diff_pct	note
p1-light-home-rest.png	s7-light-home-rest.png	54225	1.05	
p1-light-home-more.png	s7-light-home-more.png	75907	1.46	
p1-light-home-more-clip.png	s7-light-home-more-clip.png	0	0.00	
p1-light-home-selected-prototype.png	s7-light-home-selected-prototype.png	1425	0.18	
p1-light-home-selected-deck.png	s7-light-home-selected-deck.png	2274	0.28	
p1-light-home-selected-document.png	s7-light-home-selected-document.png	2805	0.35	
p1-light-community-rest.png	s7-light-community-rest.png	-	-	missing ref
p1-light-community-document.png	s7-light-community-document.png	-	-	missing ref
p1-light-community-prototype-active.png	s7-light-community-prototype-active.png	-	-	missing ref
p1-dark-home-rest.png	s7-dark-home-rest.png	131948	2.55	
p1-dark-home-more.png	s7-dark-home-more.png	176683	3.41	
p1-dark-home-more-clip.png	s7-dark-home-more-clip.png	0	0.00	
p1-dark-home-selected-prototype.png	s7-dark-home-selected-prototype.png	1262	0.16	
p1-dark-home-selected-deck.png	s7-dark-home-selected-deck.png	1432	0.18	
p1-dark-home-selected-document.png	s7-dark-home-selected-document.png	2175	0.27	
p1-dark-community-rest.png	s7-dark-community-rest.png	-	-	missing ref
p1-dark-community-document.png	s7-dark-community-document.png	-	-	missing ref
p1-dark-community-prototype-active.png	s7-dark-community-prototype-active.png	-	-	missing ref
after-personal-light-drafts-recent.png	s7p2-personal-light-drafts-recent.png	0	0.00	
after-personal-light-drafts-personal.png	s7p2-personal-light-drafts-personal.png	0	0.00	
after-personal-light-drafts-team.png	s7p2-personal-light-drafts-team.png	0	0.00	
after-personal-light-drafts-head.png	s7p2-personal-light-drafts-head.png	0	0.00	
after-personal-light-filter-open.png	s7p2-personal-light-filter-open.png	0	0.00	
after-personal-light-filter-open-clip.png	s7p2-personal-light-filter-open-clip.png	0	0.00	
after-personal-light-cards-row.png	s7p2-personal-light-cards-row.png	0	0.00	
after-personal-light-cards-row-1180.png	s7p2-personal-light-cards-row-1180.png	0	0.00	
after-personal-light-project-page.png	s7p2-personal-light-project-page.png	4649	0.09	
after-personal-light-project-top.png	s7p2-personal-light-project-top.png	0	0.00	
after-team-light-drafts-recent.png	s7p2-team-light-drafts-recent.png	0	0.00	
after-team-light-drafts-personal.png	s7p2-team-light-drafts-personal.png	0	0.00	
after-team-light-drafts-team.png	s7p2-team-light-drafts-team.png	0	0.00	
after-team-light-drafts-head.png	s7p2-team-light-drafts-head.png	0	0.00	
after-team-light-filter-open.png	s7p2-team-light-filter-open.png	0	0.00	
after-team-light-filter-open-clip.png	s7p2-team-light-filter-open-clip.png	0	0.00	
after-team-light-cards-row.png	s7p2-team-light-cards-row.png	0	0.00	
after-team-light-cards-row-1180.png	s7p2-team-light-cards-row-1180.png	0	0.00	
after-team-light-project-page.png	s7p2-team-light-project-page.png	4249	0.08	
after-team-light-project-top.png	s7p2-team-light-project-top.png	0	0.00	
